USERNAME|FIRSTNAME|LASTNAME|AGE|PASSWORD|IPADDRESS
timmyna|Shubham|Dhinfld|42|ininininin|132.0.1.2
hynnhynrir|tjbnkjt|rgjbrbrjn|43|gojrnvr|132.0.8.3
ttttttttttttt|etgnjr,nhlyrhj|yrklmhntnyhjrn|54|yuynootuynhrnj|132.0.6.3
Ajaydhdhin|Ajay|DHingra|45|Canad133|132.0.0.1
ybyubuybuyub|hiuhuihihih|nmiuybbkbuhu|43|yugugvuvu|132.0.0.1
Shubhamdhin|Shubham|Dhingra|32|Cabnfjnskf|132.0.0.1
kfdjbnkdfn|kdfjnbgkdnf|kdoisfnsdnf|23|gjdnjhnfd|132.0.1.3
Yiiiiiiiiii|Riiiiiiiiii|tiiiiiiiiii|31|rrrrrrrrrr|132.0.0.1
jjjjjjjjjjteg|tgekete|brrbt|24|bgtrbr|132.1.3.1
utvuvuttdmvmv|jvujfvmhgmh|jgvjgvjg|56|mhghmgtcuc|132.9.7.5
sdfnsuofnsnf|rfjgjew|jrelgnejlr|23|etlknbelnt|132.0.0.3
Reeyyaa|riya|Macjdk|24|oooooooo|132.0.0.3
AjayDhingr|jdfnskjdf|eorfvenojnv|24|eojfvfev|132.5.3.2
wnjrvkvnwr|blnblnfl|rwlkvnlkrw|24|eltblbmetl|132.4.2.2

jdkfmsdmdfs|ofdkmwkldfm|rkgfmeokm,gk|35|fjegmeegkg|132.4.2.1
